"Capability","pepVet","MS_Digest","ExPASy","Protein_Cleaver","ProteaseGuru","PeptideRanger"
"Peptide list + masses","Yes","Yes","Yes","Yes","Yes","Input only"
"pI calculation","Yes","No","Yes","No","No","No"
"Hydrophobicity (GRAVY)","Yes","Bull-Breese","No","No","SSRCalc","Features only"
"Composite quality score","5-component weighted","No","No","Binary flag only","No","No"
"Verdict (Good/Moderate/Poor)","Yes","No","No","No","No","No"
"Multi-enzyme comparison","Yes","Per-request","Per-request","Yes","Yes","No"
"Enzyme recommendation","Yes","No","No","Bulk rank only","No","No"
"Workflow presets","6 presets","No","No","No","No","No"
"Batch (proteome-scale)","Yes","No","No","Yes","Yes","No"
"Sensitivity analysis","Dirichlet MC","No","No","No","No","No"
"Peptide detectability (ML)","No","No","No","Rules-based","No","RF score (0-1)"
"3D structure mapping","No","No","No","Yes","No","No"
"Retention time prediction","No","No","No","Yes","No","No"
"Skyline/FASTA export","Yes","No","No","No","No","No"
"Programmatic (non-GUI)","Yes","Web only","Web only","Shiny only","Win GUI only","Yes"
"R package / Bioconductor","Yes","No","No","No","No","Yes"
