"length_min","length_max","gravy_min","gravy_max","n_valid_total","n_invalid_total","detection_rate_valid","detection_rate_invalid","enrichment"
7,30,-1.2,1,25923,35283,0.557564928712393,0.134066007047463,0.423498921664929
7,35,-1.5,0.5,27629,33577,0.548456467877453,0.125259140818763,0.42319732705869
9,30,-1.5,0.8,23655,37551,0.575892716056929,0.154170925526614,0.421721790530316
9,25,-1.5,1,21622,39584,0.588937625039731,0.167379741775698,0.421557883264033
8,20,-1.5,1,19830,41376,0.600974467272764,0.179568570137054,0.42140589713571
7,25,-1.5,0.6,24245,36961,0.569914196114071,0.149121910210728,0.420792285903343
8,35,-1.5,0.5,25653,35553,0.561622866448091,0.140969987507219,0.420652878940871
8,30,-1.2,1,24068,37138,0.56958109370843,0.149054189840739,0.420526903867692
8,30,-1.5,0.4,23170,38036,0.578086268598085,0.158411196369644,0.419675072228441
7,35,-1.2,1,27772,33434,0.541534038664269,0.121959607852928,0.419574430811342
8,25,-1.5,0.5,21611,39595,0.588403963426089,0.168920083383625,0.419483880042463
9,25,-1.5,0.8,21111,40095,0.591054158326605,0.172493734645944,0.418560423680661
8,25,-1.2,1,21532,39674,0.586116399964921,0.168188014681882,0.417928385283039
7,30,-1.2,0.8,25235,35971,0.559892154977173,0.142384248541687,0.417507906435485
8,40,-1.5,0.6,27501,33705,0.546407421155972,0.129096638114972,0.417310783041
7,40,-1.5,0.5,28688,32518,0.538053662581188,0.120909782014493,0.417143880566694
9,35,-1.5,1,26112,35094,0.554827210745283,0.137688336204584,0.417138874540698
7,30,-1.5,0.4,25082,36124,0.562255414982901,0.145476530434754,0.416778884548146
8,20,-1.5,0.8,19358,41848,0.600889248710637,0.184515321413949,0.416373927296688
7,25,-1.2,1,23387,37819,0.57157586581404,0.155324179493734,0.416251686320306
8,30,-1.2,0.8,23437,37769,0.572068337672001,0.156085439693211,0.41598289797879
9,30,-1.5,0.6,22766,38440,0.578421564573301,0.162971040784293,0.415450523789008
7,35,-1.5,0.4,26715,34491,0.550395894726206,0.134996288534772,0.415399606191434
8,35,-1.5,0.4,24803,36403,0.56425370127949,0.149130925535279,0.415122775744211
7,25,-1.5,0.5,23587,37619,0.570848929037932,0.156485411351955,0.414363517685977
8,25,-1.5,0.4,20929,40277,0.589269164329552,0.175461807249304,0.413807357080248
8,25,-1.2,0.8,20964,40242,0.587681081783223,0.174227526290201,0.413453555493022
7,20,-1.5,1,21981,39225,0.580312099980519,0.167161073649695,0.413151026330824
9,35,-1.5,0.8,25479,35727,0.557446696749365,0.144541314762665,0.4129053819867
6,35,-1.5,1,32365,28841,0.509118776201792,0.0964206777305452,0.412698098471247
8,40,-1.5,0.5,26712,34494,0.55009680198341,0.137439711617359,0.412657090366051
7,40,-1.2,1,28944,32262,0.529188365849135,0.116577926991496,0.412610438857639
9,25,-1.5,0.6,20341,40865,0.592379910306014,0.180103399043858,0.412276511262156
8,35,-1.2,1,25917,35289,0.550939874391565,0.138730837674902,0.412209036716664
9,30,-1.5,0.5,22123,39083,0.580995533976276,0.168998972973591,0.411996561002685
8,30,-1.5,0.3,22274,38932,0.579348392787872,0.167484885227137,0.411863507560736
